Trial,Target,0,1,2,3,4,5,6
76,5,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_17.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_4770-25951-0016.flac,NONE
77,4,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_6160-44912-0007.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_07.wav
78,6,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_06.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_6160-44912-0007.flac
79,6,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_01.wav,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_2823-160953-0025.flac
80,3,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_224-129790-0030.flac,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_11.wav
81,5,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_3869-700-0023.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_05.wav
82,6,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_14.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_224-129790-0030.flac
83,3,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_01.wav,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_2823-160953-0025.flac,NONE,NONE,NONE
84,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_3094-136458-0049.flac,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_02.wav,NONE,NONE,NONE
85,6,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_08.wav,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_4770-25951-0016.flac
86,1,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male_81-121543-0009.flac,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_19.wav
87,4,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/urban_samples/dog_bark_07.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/female_224-129790-0030.flac,NONE,NONE
