Trial,Target,0,1,2,3,4,5,6
1,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/3869-700-0023.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,NONE,NONE
2,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/5448-19209-0015.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,NONE
3,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/3869-700-0023.flac,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE
4,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE
5,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/81-121543-0009.flac,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE
6,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/3869-700-0023.flac,NONE,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav
7,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/81-121543-0009.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,NONE
8,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE
9,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE
10,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/816-53638-0002.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE
11,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav
12,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE
13,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/816-53638-0002.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE
14,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/816-53638-0002.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE
15,0,/usr/local/src/robot/iCubAudioAttention/data/audio_source/target_samples/male/2823-160953-0025.flac,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav,NONE,NONE,NONE,/usr/local/src/robot/iCubAudioAttention/data/audio_source/noise_samples/pink_noise.wav
